"資料集提供機關","資料集名稱","瀏覽次數","下載次數","資料集評分"
"經濟部水利署","防災資訊_淹水警戒","12624","1309","3.2"
"經濟部水利署","防災資訊_河川警戒","5311","645","5.0"
"經濟部水利署","防災資訊_水庫洩洪警戒","5341","850","4.33333320618"
"科技部中部科學工業園區管理局","中部科學工業園區園區活動訊息","3399","310",""
"行政院公共工程委員會","拒絕往來廠商公告","24986","4019","3.8"
"行政院公共工程委員會","政府採購法規解釋函令及相關函文","9091","404",""
"行政院海岸巡防署","海上救生救難案例","4299","302",""
"行政院海岸巡防署","海巡統計年報","3703","248",""
"行政院海岸巡防署","海巡雙月刊","4550","179","5.0"
"行政院海岸巡防署","行政院海岸巡防署「重大政策」","3765","154",""
"行政院海岸巡防署","行政院海岸巡防署「資本支出-中長程個案計畫」","3746","159",""
"國家通訊傳播委員會","全國各縣市有線廣播電視基本頻道收視費用","5805","609",""
"國家通訊傳播委員會","電信設備審驗合格清單","4869","507","3.0"
"國家通訊傳播委員會","廣播電臺節目表","3797","544",""
"國家通訊傳播委員會","公眾頻率分配","4069","467",""
"衛生福利部","衛生福利部健康電子報","3865","308",""
"衛生福利部全民健康保險爭議審議會","全民健康保險爭議審議案件統計","6034","675",""
"文化部","文化部獨立音樂","17500","20944","3.5"
"文化部","文化部徵選活動","6651","9368","3.0"
"文化部","文化部競賽活動","7654","10032",""
"文化部","文化部綜藝活動","7713","11368","1.0"
"文化部","文化部電影","25145","22645","2.375"
"文化部","文化部講座資訊","7554","11284","4.0"
"文化部","文化部展覽資訊","42839","44034","3.8"
"文化部","文化部演唱會","12330","17517","4.0"
"文化部","文化部親子活動","8555","21685","4.5"
"文化部","文化部舞蹈表演資訊","34855","30567","3.0"
"文化部","文化部戲劇表演資訊","35694","9848","5.0"
"文化部","文化部音樂表演資訊","37607","13134",""
"文化部","文化部其他藝文資訊","23318","9167","1.0"
"行政院主計總處","消費者物價基本分類指數","12557","2195","3.75"
"行政院主計總處","所得層級別消費者物價指數","5705","897","1.0"
"行政院主計總處","消費者物價購買頻度別指數","5870","886",""
"中央銀行","央行貼放利率","3565","535","5.0"
"中央銀行","金融業隔夜拆款利率","6147","769","4.66666679382"
"中央銀行","貨幣總計數","8032","755","3.0"
"中央銀行","外匯存底","4192","375","5.0"
"中央銀行","每季新臺幣發行數額及準備狀況","3085","302","1.0"
"經濟部工業局","臺灣製產品MIT微笑標章網站通過驗證產品資料","5344","801","3.0"
"經濟部智慧財產局","專利百大排行","3571","620",""
"經濟部能源局","國際原油價格","15372","2005","4.90909080505"
"經濟部能源局","用電安全資訊","6335","657","3.85714302063"
"經濟部能源局","再生能源電能躉購費率及其計算公式","4869","352","5.0"
"經濟部能源局","車型耗能證明核發資料","6134","2579","5.0"
"行政院農業委員會","水產精品資料","3739","811","3.5"
"行政院農業委員會","森林步道","12366","2623","2.33333339691"
"行政院農業委員會","農村地方美食小吃特色料理","16043","4500","3.85714302063"
"財政部國庫署","公益彩券銷售及盈餘分配情形","5846","2170",""
"財政部財政資訊中心","綜合所得稅結算申報書統計表","5761","3823","4.0"
"金融監督管理委員會","金管會新聞稿","10251","24463","2.33333339691"
"金融監督管理委員會","金融機構基本資料查詢","27680","16265","2.625"
"金融監督管理委員會","金融機構國內總、分行存款餘額","11424","12109","2.0"
"金融監督管理委員會","財產保險業保費收入統計表","7796","10659","2.0"
"經濟部商業司","公司設立登記清冊(月份)","42025","15595","4.27272720337"
"經濟部商業司","公司變更登記清冊(月份)","18025","7168","4.2"
"經濟部商業司","公司解散登記清冊(月份)","17005","6872","4.2"
"台灣自來水股份有限公司","停水資訊","26738","5214","3.25"
"交通部公路總局","道路(橋梁)預警性封閉","8933","1158","1.0"
"交通部公路總局","客運時刻","15795","2104","3.66666679382"
"財政部關務署","海關進出口貿易統計","9453","2916","3.0"
"財政部國有財產署","國有非公用土地提供綠美化資訊公開","5316","1226","4.5"
"勞動部","勞工育樂中心訊息","5609","619",""
"勞動部職業安全衛生署","防爆電氣設備檢定合格品名單","8669","1292","3.0"
"勞動部勞動基金運用局","新制勞工退休基金歷年最低保證收益率","4727","848",""
"勞動部勞動力發展署","就業博覽會及現場徵才資訊","10775","1313","2.25"
"勞動部勞動力發展署","職業訓練課程資訊","19516","1536","2.625"
"勞動部勞工保險局","勞保局各地辦事處","4438","685","2.0"
"勞動部勞工保險局","勞保年金給付介紹","3626","713",""
"勞動部勞動力發展署技能檢定中心","技能檢定發證數統計資料","6139","1279","5.0"
"台灣電力股份有限公司","用電統計資料","27027","4244","3.2"
"台灣中油股份有限公司油品行銷事業部","加油站服務資訊","10647","2060","3.63636360168"
"民用航空局","交通部民用航空局獎補助費明細表","6046","742","2.25"
"交通部中央氣象局","顯著有感地震報告資料-顯著有感地震報告","64104","1133495","3.28571434021"
"交通部中央氣象局","一般天氣預報-今明36小時天氣預報","24886","19165","4.5"
"交通部公路總局","道路(橋梁)災害性封閉","9652","1143","3.0"
"交通部航港局","金廈(東渡、五通)及石井航線航班表","5599","607","2.25"
"交通部航港局","馬祖小三通(南竿福澳-馬尾、北竿白沙-黃岐)航班表","5393","816","3.0"
"科技部南部科學工業園區管理局","南部科學工業園區園區活動通報資訊","3898","275",""
"行政院環境保護署","空氣品質監測站基本資料","16872","5279","3.18181819916"
"行政院環境保護署","紫外線即時監測資料","40855","23644","3.77777786255"
"行政院環境保護署","紫外線測站基本資料","6495","2040","5.0"
"行政院環境保護署","河川水質監測資料","7674","2220","5.0"
"行政院環境保護署","河川水質測點基本資料(含地理圖資)","8144","2333","3.5"
"行政院環境保護署","環境即時通","11355","1298","3.75"
"原住民族委員會","102年度原住民族歲時祭儀放假日期","4129","789",""
"原住民族委員會","臺閩地區各縣市原住民族人口數統計資料","3617","713","2.0"
"原住民族委員會","原住民十大特色美食","5045","1717","4.75"
"原住民族委員會","101年臺灣原住民族文學獎","3350","700","3.5"
"原住民族委員會","拜訪部落-擁抱25條臺灣原住民私房景點路線","10026","2077","3.0"
"教育部統計處","幼兒園名錄","10599","2976","3.875"
"教育部統計處","國民小學名錄","9221","3003","2.33333339691"
"教育部統計處","國民中學名錄","5429","1373",""
"教育部統計處","一般高級中等學校名錄","8272","1938","5.0"
"教育部統計處","獨立高級中等進修學校名錄","6286","1072",""
"教育部統計處","大專校院名錄","16448","6123","3.66666679382"
"國立故宮博物院","第2批書畫類文物後設資料","3233","204",""
"國立故宮博物院","第1批書畫類文物後設資料","3689","222",""
"行政院原子能委員會","核能電廠運轉資訊","3224","286",""
"行政院原子能委員會","全國環境輻射偵測","37065","49739","4.4"
"行政院原子能委員會","原能會Youtube專區","2939","160",""
"行政院原子能委員會","國內輻射偵檢合格鋼鐵業名冊","3228","178",""
"行政院原子能委員會","體外劑量評定機構名單","2258","128",""
"國家發展委員會","景氣指標及燈號","21723","2095","4.35714302063"
"國家發展委員會","臺灣採購經理人指數","6046","485","5.0"
"國家發展委員會","人口推計","6489","588","4.4"
"國家發展委員會","都市及區域發展統計彙編","6604","478","1.0"
"行政院大陸委員會","大陸地區人民來臺從事文教交流統計","3656","393","5.0"
"行政院大陸委員會","大陸人士來臺從事文教交流核准數","3192","184",""
"行政院大陸委員會","金馬小三通航運人員往來統計月報","3102","495","5.0"
"僑務委員會","海外華人僑團統計","3377","634","5.0"
"僑務委員會","海外華文學校、中文班分布情形","2938","537",""
"僑務委員會","海外信用保證基金承保案件統計","2939","415",""
"僑務委員會","各級學校及海青班在學僑生人數統計","3155","406",""
"僑務委員會","辦理華僑身分證明書、護照加簽僑居身分及役政用華僑身分證明書案件","3398","381",""
"外交部","駐外館處通訊錄","3032","253","5.0"
"外交部","駐華使館及機構通訊錄","2762","234","5.0"
"中華郵政股份有限公司","全國郵局ATM分佈","11630","2305","2.9"
"國軍退除役官兵輔導委員會","退輔會所屬醫療機構基本資料","4057","259",""
"國軍退除役官兵輔導委員會","退輔會所屬醫療機構開設病床數","3620","259",""
"國軍退除役官兵輔導委員會","退輔會所屬安養機構基本資料","3104","299",""
"國軍退除役官兵輔導委員會","退輔會所屬安養機構現有床位數","3267","313",""
"國軍退除役官兵輔導委員會","退輔會所屬農林遊憩區基本資料","3458","238",""
"公平交易委員會","多層次傳銷-已完成報備名單","6583","483","5.0"
"公平交易委員會","多層次傳銷-尚待補正名單","2618","318",""
"公平交易委員會","多層次傳銷-搬遷不明及無營業跡象名單","2778","242",""
"公平交易委員會","多層次傳銷-已起訴或判決名單","3104","286","4.0"
"公平交易委員會","多層次傳銷事業報備統計","2713","192",""
"警政署","歷年重大交通事故地點資料","15650","2779","3.5"
"衛生福利部食品藥物管理署","不符合食品資訊資料集","17623","2441","3.66666679382"
"衛生福利部食品藥物管理署","藥局基本資料","37786","13224","3.64705886841"
"國立故宮博物院","第1批器物類文物後設資料","3344","176",""
"國立故宮博物院","第2批器物類文物後設資料","3235","147",""
"國立故宮博物院","第3批器物類文物後設資料","3229","143",""
"交通部臺灣鐵路管理局","鐵路時刻表","80197","9206","2.66666660309"
"臺灣港務股份有限公司","基隆港國際線旅客船船期表","7239","757","2.0"
"臺灣港務股份有限公司","高雄港郵輪船期","10013","10002","4.09090919495"
"臺灣港務股份有限公司","花蓮港務分公司觀光郵輪各航次進出港預報表","5415","430","3.0"
"行政院原子能委員會","核子反應器設施持照運轉員人數","2414","139",""
"客家委員會","客家委員會客家學術機構","3697","321",""
"客家委員會","客家委員會海外客家社團","4422","424",""
"客家委員會","客家委員會客語生活學校","3842","429",""
"客家委員會","客家委員會桐花景點步道","9071","1056","1.75"
"客家委員會客家文化發展中心","客家委員會苗栗客家文化園區圖書資料中心館藏","3634","202",""
"客家委員會","客家委員會年度客家民俗節慶活動","4446","289","3.0"
"行政院農業委員會","吉園圃資訊","3770","671",""
"行政院農業委員會","屏東農業生物技術園區進駐企業資訊","2467","403",""
"勞動部勞動力發展署","微型創業鳳凰創業課程","5096","491","5.0"
"勞動部勞動及職業安全衛生研究所","勞動及職業安全衛生研究所_各年度研究報告","3242","318",""
"行政院公共工程委員會","決標金額前5大之決標公告","7468","318","3.5"
"行政院公共工程委員會","各科執業技師人數統計","4981","413","5.0"
"國家災害防救科技中心","中央氣象局颱風路徑及預報","8219","5158","3.0"
"國家災害防救科技中心","中央氣象局颱風暴潮觀測","4861","693","3.0"
"國家災害防救科技中心","中央氣象局雷達回波","18566","158944","4.4444442749"
"國家災害防救科技中心","中央氣象局雨量觀測-日累積圖","13715","8204","2.4"
"國家災害防救科技中心","中央氣象局雨量站觀測資料","84838","54620","3.16326522827"
"國家災害防救科技中心","中央氣象局颱風侵襲機率","6664","1574","1.0"
"國家災害防救科技中心","水土保持局土石流潛勢溪流(新北市)","6524","1186","2.83333339691"
"國家災害防救科技中心","水利署淹水警戒","6839","1556","5.0"
"國家災害防救科技中心","水利署水庫洩洪警戒","4752","702",""
"國家災害防救科技中心","中央氣象局豪大雨特報","9899","7401","2.0"
"國家災害防救科技中心","中央氣象局地震報告","9733","4765","3.2"
"國家災害防救科技中心","中央氣象局海嘯警報","5696","1869",""
"國家災害防救科技中心","水土保持局土石流紅黃警戒","8485","2895","2.66666660309"
"國家災害防救科技中心","中央氣象局颱風警報","7021","2722","4.0"
"國家災害防救科技中心","水利署河川水位警戒","9488","2497","2.5"
"財政部財政資訊中心","全國財產稅籍持有人數統計表","6582","2254","5.0"
"臺灣糖業股份有限公司","台糖加油站據點資訊","6581","993","2.5"
"臺南市政府","臺南市政府無線上網熱點","6696","961","3.75"
"臺南市政府","臺南市國小新生報到人數","3396","556",""
"臺南市政府","臺南市政府工務局道路挖掘路證列表","2706","253",""
"臺南市政府","臺南市政府工務局在建工程列表","3058","305",""
"臺南市政府","臺南市托育機構","4230","552","5.0"
"臺南市政府","臺南市兒少安置機構","4791","575","5.0"
"國防部","衛教資訊","5536","708","1.0"
"臺南市政府","臺南市國中各校男女生人數統計","3265","508","2.5"
"臺南市政府","臺南市公園基本資料","3193","449","5.0"
"臺南市政府","臺南景點","6219","943","2.66666660309"
"臺南市政府","臺南餐飲","4611","764","3.4"
"國防部","國軍鳥擊防制資料","3622","359","5.0"
"中央選舉委員會","總統副總統選舉結果概況","4873","1246","1.0"
"中央選舉委員會","立法委員選舉結果概況及不分區得票資料","9060","1193","4.0"
"中央選舉委員會","直轄市長選舉結果概況","4045","611",""
"中央選舉委員會","縣市長選舉結果概況","6148","782",""
"臺南市政府","臺南市老人長期照護、養護、安養機構","4312","423","3.5"
"國防部","各縣市國軍英雄館基本資料表","3663","285","3.0"
"臺南市政府","臺南市國中小網路暑假作業競賽作品","2855","244",""
"臺南市政府","臺南市校園藝文活動新聞","2810","287",""
"臺南市政府","臺南市教育公告","2434","201",""
"國防部","國軍協助災害防救","7837","605","3.75"
"中央選舉委員會","直轄市議員選舉結果概況","4252","563","2.0"
"中央選舉委員會","縣市議員選舉結果概況","6084","556","3.0"
"中央選舉委員會","鄉鎮市民代表選舉結果概況","4766","476","3.0"
"中央選舉委員會","鄉鎮市長選舉結果概況","3559","466","3.5"
"臺南市政府","臺南市教師研習課程資訊","2454","217",""
"臺南市政府","非讀BOOK台南愛讀冊資源列表","3936","273","4.0"
"國防部","國軍文藝活動中心","6402","274","5.0"
"中央選舉委員會","直轄市里長選舉結果概況","14308","1388","3.21951217651"
"中央選舉委員會","村里長選舉結果概況","18880","1454","3.63636360168"
"臺南市政府","臺南市學校網路電話","3126","408","5.0"
"國防部","國軍加強河川野溪疏濬","4117","203","1.0"
"國防部","外島排雷成效資料","4108","273","1.0"
"交通部高速鐵路工程局","臺灣桃園國際機場聯外捷運系統路線資料","5879","3759","5.0"
"桃園國際機場股份有限公司","台灣桃園國際機場無線上網熱點位置","4137","399","2.0"
"國防部","國軍醫院基本資料","8389","611","4.66666679382"
"國防部","102年國軍鄉民收容(安置)營區資料","7946","283","1.57142858505"
"地政司"," 不動產買賣實價登錄批次資料","184920","41221","3.42857131958"
"地政司","不動產租賃實價登錄批次資料","16155","11611","3.5555557251"
"地政司","預售屋買賣實價登錄批次資料","12188","4519","3.91666679382"
"交通部","機車使用狀況調查資料","22947","2844","3.57142868042"
"臺南市政府","臺南市運動地圖","6783","672",""
"交通部臺灣區國道高速公路局","高速公路局各服務區顧客服務專線一覽表","3670","330",""
"文化部","文化部公共藝術","21700","18122","5.0"
"文化部","文化部展演空間","23368","29579",""
"文化部","文化部文化行政據點","3776","410",""
"文化部","文化部特色圖書館","3995","873",""
"文化部","文化部文創商店","6039","994",""
"文化部","文化部獨立書店","6632","1607",""
"金融監督管理委員會","各金融機構共通性費用資訊彙整表(銀行)","5135","670","2.0"
"金融監督管理委員會","各金融機構共通性費用資訊彙整表(信合社)","3364","262",""
"交通部臺灣區國道高速公路局","高速公路延車公里統計","4799","583","3.0"
"臺南市政府","臺南市學校代碼列表","2445","181",""
"教育部國民及學前教育署","學生體重平均值(6歲-15歲)","8018","1816","4.0"
"教育部國民及學前教育署","十二年國民基本教育-適性輔導影片","2719","251",""
"教育部統計處","大專院校校別學生數","6445","3118","5.0"
"教育部統計處","大專院校校別專任教師數","4186","761","5.0"
"教育部統計處","大專校院校別專任教師數－學歷別","3986","611",""
"教育部統計處","大專院校校別班級數","3587","426",""
"教育部統計處","大專校院校別畢業生人數(上學年度)","3658","661",""
"教育部統計處","宗教研修學院概況－按校別分","3797","622","5.0"
"教育部統計處","空大及大專進修學校概況","3010","465",""
"教育部統計處","高級中等學校校別資料(含進修部(學校)) ","3430","638",""
"教育部統計處","國民中學校別資料","4256","698",""
"教育部統計處","國民小學校別資料","4369","777",""
"教育部統計處","補習學校校別資料","3002","447",""
"文化部","文化部博物館","5681","1070",""
"文化部","文化部社區","8345","1288","1.5"
"文化部","文化部地方文化館","5420","796","5.0"
"國立臺灣工藝研究發展中心","工藝中心工藝之家","6611","669","5.0"
"文化部文化資產局","文資局古蹟","7082","1721","4.5"
"警政署","婦幼安全警示地點","46812","4614","3.6"
"交通部","民眾日常使用運具狀況調查","13504","2693","4.0"
"交通部","小客貨車租賃業營運狀況調查資料","7565","809","3.0"
"交通部","98年自行車使用狀況調查","6038","566","3.66666679382"
"交通部","民眾對交通部施政措施滿意度調查","6401","597","2.66666660309"
"交通部","計程車營運狀況調查","8778","1749","4.6"
"交通部","遊覽車營運狀況調查","8034","863","3.5"
"交通部運輸研究所","100年世界前10名國際機場之客運量排名與成長率","2722","374",""
"交通部運輸研究所","100年世界前10大國際機場之貨運量、排名與成長率","2879","286",""
"交通部運輸研究所","其他部分國家高速鐵路長度比較表","2327","223",""
"交通部運輸研究所","其他部分國家鐵路長度比較表","2569","210",""
"勞動部勞工保險局","勞保投保薪資分級表","16431","1323","3.71428565979"
"勞動部勞工保險局","勞就保保險費分擔金額表","4171","731","5.0"
"勞動部勞工保險局","職業工會會員勞保月負擔保險費金額表","3461","337","5.0"
"勞動部勞工保險局","漁會會員勞保月負擔保險費金額表","2979","314","5.0"
"勞動部勞工保險局","職業災害保險適用行業別及費率表","11340","1355","1.0"
"勞動部職業安全衛生署","職業重建單位名單","2473","379",""
"勞動部勞工保險局","投保農會名稱與地址一覽表","1950","395","3.0"
"勞動部勞工保險局","勞保局國保業務說明會辦理地區場次","2063","315","3.5"
"勞動部勞工保險局","直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊","2695","255",""
"勞動部勞工保險局","國民年金保險費代收及轉帳代繳金融機構一覽表","2831","241",""
"勞動部勞工保險局","勞工保險局委託代收、轉帳保險費金融機構一覽表","2136","202",""
"勞動部勞工保險局","職業工會、漁會欠費名單","3755","547","3.0"
"勞動部勞工保險局","勞工保險預防職業病健康檢查之檢查對象及項目","3482","278",""
"勞動部勞工保險局","衛生福利部評鑑合格之醫院名單","16966","3122","3.42857131958"
"勞動部勞工保險局","勞工退休金繳納方式","2991","405",""
"勞動部勞工保險局","勞退個人專戶查詢管道","3334","465","5.0"
"勞動部勞工保險局","勞工退休金月提繳工資分級表","7717","628",""
"勞動部勞工保險局","積欠工資墊償歷年統計","2152","385",""
"勞動部勞工保險局","積欠工資墊償追償統計","2223","399",""
"勞動部","工會團體名冊","4520","1178","3.0"
"勞動部","勞動基準法適用公告","3235","523",""
"勞動部","勞動基準法第84條之1核定工作者","5132","1087","5.0"
"勞動部","基本工資之制定與調整經過","5579","757","5.0"
"勞動部","97年與99年友善職場優良事業單位具體措施","3019","254",""
"教育部國民及學前教育署","學生身高平均值(6歲-15歲)","10594","1348","5.0"
"教育部國民及學前教育署","國小學生體位趨勢","6332","873","3.0"
"教育部國民及學前教育署","特殊教育學校名錄","2461","333",""
"教育部統計處","大專校院校別職員.警衛.工友人數","2643","480","1.0"
"教育部統計處","大專校院校地校舍面積統計","4700","1132","4.0"
"教育部統計處","大專校院圖書館統計","4990","1144","3.5"
"教育部統計處","大專校院境外學生人數統計","4276","1085",""
"教育部統計處","大專校院外籍專任教師統計－按校別、性別與職級別分","2602","458",""
"教育部統計處","大專校院外籍專任教師統計－按校別、國別、性別與職級別分","2771","475","5.0"
"僑務委員會","十月慶典回國僑胞報到人數","2024","163",""
"僑務委員會","函授教育入學及結業學生人數","1754","157",""
"僑務委員會","大專院校畢業僑生人數","2006","176",""
"僑務委員會","僑民對九二一大地震之反應及捐款情形","2065","155","5.0"
"勞動部","台灣勞工季刊","11513","740","5.0"
"行政院環境保護署","國際環保新聞週報","4561","765",""
"行政院環境保護署","環保新聞","2897","864",""
"僑務委員會","海外華僑文教服務中心地址及聯絡資訊","2019","147","5.0"
"僑務委員會","歷屆美洲各地中華會館、中華公所、華僑總會聯誼會召開年會時間及地點","2170","149","5.0"
"僑務委員會","歷屆歐洲華僑團體聯誼會召開年會時間及地點","2016","129","5.0"
"僑務委員會","歷屆中美洲暨巴拿馬六國中華、華僑總會聯合總會召開年會時間及地點","2270","133","5.0"
"僑務委員會","核發華僑身分證明書案件─按僑居地別分","1875","145",""
"僑務委員會","僑務委員會議資料表","1911","189",""
"行政院主計總處","消費者物價商品性質分類指數","3932","607",""
"交通部","自用小客車使用狀況調查","10891","1492","4.16666679382"
"交通部","汽車貨運調查","6017","662","4.25"
"台灣自來水股份有限公司","水質資訊","6769","959","4.8"
"台灣自來水股份有限公司","供水人口及普及率","5680","769","2.33333339691"
"台灣自來水股份有限公司","深溝水源生態園區介紹","2535","271",""
"教育部國民及學前教育署","奧林匹亞競賽歷年參賽成績","2847","285",""
"教育部國民及學前教育署","高級中等學校實用技能學程核班情形","2811","337",""
"教育部國民及學前教育署","建教合作班核班情形","2109","327",""
"教育部國民及學前教育署","十二年國民基本教育-國中活化教學列車影片","2335","202",""
"教育部國民及學前教育署","國民中小學教科書審定通過表","2267","163",""
"國家教育研究院","國家教育研究院專案研究報告","2709","187",""
"國家教育研究院","國際教育訊息電子報","2756","174",""
"國家教育研究院","愛學網電視館","5864","175","3.0"
"國家教育研究院","教育學學術名詞","2542","148",""
"國家教育研究院","中央機關一般職稱雙語詞彙","15433","3354","3.77777786255"
"國立教育廣播電臺","國立教育廣播電臺公告事項","1623","156",""
"國立教育廣播電臺","國立教育廣播電臺熱門推薦","2140","154",""
"國立教育廣播電臺","國立教育廣播電臺文教新聞","2035","164",""
"國立教育廣播電臺","國立教育廣播電臺活動快訊","2044","179",""
"國家發展委員會","都市及區域發展統計彙編 ─ 都市及區域發展指標","2817","266",""
"國家發展委員會","都市及區域發展統計彙編 ─ 1-1.土地面積、戶數、人口數、人口密度、年齡結構及扶養比例","3840","434","3.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 1-2.土地面積、戶數、人口數、人口密度、年齡結構及扶養比例按主要都市分","4549","405",""
"國家發展委員會","都市及區域發展統計彙編 ─ 1-3.人口成長","2543","265","5.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 1-4.人口成長按主要都市分","2403","209","4.0"
"國家發展委員會","都市及區域發展統計彙編 ─ 1-5.農戶與非農戶人口","1953","200",""
"經濟部加工出口區管理處","園區土地資訊","3328","414",""
"經濟部加工出口區管理處","園區標準廠房資訊","2905","357",""
"經濟部加工出口區管理處","園區事業別營業額資訊","2157","179",""
"經濟部加工出口區管理處","園區事業資金來源資訊","1907","151",""
"經濟部加工出口區管理處","園區各業別暨受雇員工平均工資資訊","3843","247",""
"經濟部加工出口區管理處","園區水電耗用狀況資訊","2162","189","3.0"
"臺灣糖業股份有限公司","台糖蜜鄰便利超市據點資訊","4654","355","3.33333320618"
"經濟部國際貿易局","貨品輸出入規定資料 (統計參考用)","3921","578","3.0"
"台灣中油股份有限公司油品行銷事業部","中油主產品牌價","18893","1824","2.2"
"勞動部職業安全衛生署","通過職業安全衛生管理系統(TOSHMS)驗證單位名單","2949","277",""
"勞動部職業安全衛生署","勞工安全衛生教育訓練單位評鑑結果績優名單","3472","278",""
"行政院環境保護署","沙塵預報資料","2855","648","2.0"
"行政院環境保護署","全國細懸浮微粒手動監測資料","4929","1600","5.0"
"行政院環境保護署","土壤及地下水污染管制區公告資料","6790","1236","2.0"
"行政院環境保護署","水庫水質監測資料","3469","952",""
"行政院環境保護署","海域水質監測資料","2585","595",""
"行政院環境保護署","海灘夏季水質監測資料","2459","752",""
"行政院環境保護署","區域性地下水水質監測資料","2847","506",""
"行政院環境保護署","空氣品質預報資料","6832","1974","3.5"
"行政院環境保護署","土壤及地下水污染場址基本資料","3439","595","3.0"
"行政院環境保護署","機車排氣定檢站資料","3937","693",""
"行政院環境保護署","環境空氣戴奧辛監測資料","3589","738","4.5"
"行政院環境保護署","列管毒性化學物質毒理資料","2992","505",""
"行政院環境保護署","自來水水質抽驗結果(依件數)","2190","445",""
"行政院環境保護署","自來水水質抽驗結果(依項目)","2207","498",""
"行政院環境保護署","包裝及盛裝飲用水水源水質抽驗結果","2416","521","5.0"
"行政院環境保護署","應回收廢棄物回收業者資料","4950","595","3.0"
"行政院環境保護署","應回收廢棄物處理業者資料","2635","621","2.0"
"行政院環境保護署","全國各縣市清潔隊資料","2371","382",""
"行政院環境保護署","環境影響評估案件摘要資料","2214","444",""
"行政院環境保護署","列管污染源基本資料","7106","948","5.0"
"行政院環境保護署","公民營廢棄物清除機構資料","2713","385",""
"行政院環境保護署","廢行動通訊產品回收點資料","2167","363",""
"行政院環境保護署","焚化廠基本資料","2073","393",""
"行政院環境保護署","焚化廠營運月報","2087","408",""
"行政院環境保護署","焚化廠營運年報","1687","311",""
"行政院環境保護署","焚化廠空污檢測資料","2181","478",""
"行政院環境保護署","焚化廠飛灰穩定化檢測資料","2142","332",""
"行政院環境保護署","焚化廠飛灰原始檢測資料","1454","134",""
"行政院環境保護署","焚化廠底渣原始檢測資料","2231","356",""
"行政院環境保護署","環境教育設施場所認證資料","3820","406",""
"行政院環境保護署","環境教育機構認證資料","2226","358",""
"行政院環境保護署","環境檢驗測定機構許可資料","6424","467",""
"行政院環境保護署","機動車輛測定機構許可資料","2117","353",""
"行政院環境保護署","區域性地下水水質測站位置圖","3162","472",""
"行政院環境保護署","全國飲用水水源水質保護區範圍圖","5416","904","5.0"
"行政院環境保護署","交通噪音監測站位置圖","3826","492",""
